File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:10:06 CET
Duration: 5s, Total samples = 4.52s (90.38%)
Showing nodes accounting for 3.24s, 71.68% of 4.52s total
Dropped 470 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2.encKV
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2.encodeHeaders
         0     0% 71.68%      0.21s  4.65%  golang.org/x/net/http2.flushFrameWriter.writeFrame
         0     0% 71.68%      0.14s  3.10%  golang.org/x/net/http2.readFrameHeader
         0     0% 71.68%      0.21s  4.65%  golang.org/x/net/http2.writeWithByteTimeout
         0     0% 71.68%      0.06s  1.33%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 71.68%      0.06s  1.33%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2/hpack.(*Encoder).WriteField
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2/hpack.(*Encoder).searchTable
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2/hpack.(*dynamicTable).add
         0     0% 71.68%      0.03s  0.66%  golang.org/x/net/http2/hpack.(*headerFieldTable).search
         0     0% 71.68%      0.04s  0.88%  google.golang.org/protobuf/proto.Marshal
         0     0% 71.68%      0.03s  0.66%  google.golang.org/protobuf/proto.MarshalOptions.marshal
         0     0% 71.68%      0.26s  5.75%  internal/poll.(*FD).Write
         0     0% 71.68%      0.38s  8.41%  internal/poll.ignoringEINTRIO (inline)
         0     0% 71.68%      0.03s  0.66%  internal/runtime/maps.(*Map).Delete
         0     0% 71.68%      0.03s  0.66%  internal/runtime/syscall.EpollWait
         0     0% 71.68%      0.06s  1.33%  internal/sync.runtime_doSpin
         0     0% 71.68%      0.10s  2.21%  io.(*LimitedReader).Read
         0     0% 71.68%      0.17s  3.76%  io.ReadFull (inline)
         0     0% 71.68%      0.12s  2.65%  net.(*conn).Read
         0     0% 71.68%      0.21s  4.65%  net.(*conn).Write
         0     0% 71.68%      0.21s  4.65%  net.(*netFD).Write
         0     0% 71.68%      2.30s 50.88%  net/http.(*ServeMux).ServeHTTP
         0     0% 71.68%      0.31s  6.86%  net/http.(*conn).serve
         0     0% 71.68%      2.29s 50.66%  net/http.HandlerFunc.ServeHTTP
         0     0% 71.68%      0.05s  1.11%  net/http.Header.Set (inline)
         0     0% 71.68%      2.29s 50.66%  net/http.initALPNRequest.ServeHTTP
         0     0% 71.68%      2.30s 50.88%  net/http.serverHandler.ServeHTTP
         0     0% 71.68%      0.05s  1.11%  net/textproto.MIMEHeader.Set (inline)
         0     0% 71.68%      0.03s  0.66%  os.(*File).Close (partial-inline)
         0     0% 71.68%      0.05s  1.11%  os.(*File).Write
         0     0% 71.68%      0.10s  2.21%  os.(*File).WriteAt
         0     0% 71.68%      0.10s  2.21%  os.(*File).pwrite (inline)
         0     0% 71.68%      0.05s  1.11%  os.(*File).write (inline)
         0     0% 71.68%      0.03s  0.66%  os.(*file).close
         0     0% 71.68%      0.04s  0.88%  os.Open (inline)
         0     0% 71.68%      0.04s  0.88%  os.OpenFile
         0     0% 71.68%      0.03s  0.66%  os.ReadDir
         0     0% 71.68%      0.07s  1.55%  os.ignoringEINTR (inline)
         0     0% 71.68%      0.05s  1.11%  os.open
         0     0% 71.68%      0.04s  0.88%  os.openFileNolog
         0     0% 71.68%      0.04s  0.88%  os.openFileNolog.func1 (inline)
         0     0% 71.68%      0.05s  1.11%  pkt.systems/kryptograf.(*service).EncryptWriter
         0     0% 71.68%      0.04s  0.88%  pkt.systems/kryptograf.(*service).MintDEK
         0     0% 71.68%      0.04s  0.88%  pkt.systems/kryptograf/cipher.(*aeadCipher).Seal
         0     0% 71.68%      0.04s  0.88%  pkt.systems/kryptograf/keymgmt.MintDEK (inline)
         0     0% 71.68%      0.04s  0.88%  pkt.systems/kryptograf/keymgmt.MintDEKWithNonceSize
         0     0% 71.68%      0.03s  0.66%  pkt.systems/kryptograf/stream.(*reader).Close
         0     0% 71.68%      0.08s  1.77%  pkt.systems/kryptograf/stream.(*writer).Close
         0     0% 71.68%      0.05s  1.11%  pkt.systems/kryptograf/stream.releaseBuffers
         0     0% 71.68%      0.05s  1.11%  pkt.systems/kryptograf/stream.zeroAll (inline)
         0     0% 71.68%      0.38s  8.41%  pkt.systems/lockd/internal/core.(*Service).Acquire
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/core.(*Service).Acquire.func1
         0     0% 71.68%      0.93s 20.58%  pkt.systems/lockd/internal/core.(*Service).Release
         0     0% 71.68%      0.49s 10.84%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta
         0     0% 71.68%      0.23s  5.09%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta.func1.1
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/core.(*Service).ensureMeta
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/core.(*Service).loadMetaMaybeCached
         0     0% 71.68%      0.21s  4.65%  pkt.systems/lockd/internal/core.(*Service).maybeThrottleLock
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/core.(*Service).namespacedKey
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/core.(*Service).newWritePlan
         0     0% 71.68%      0.10s  2.21%  pkt.systems/lockd/internal/core.(*Service).updateLeaseIndex
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/core.(*leaseMetrics).recordAcquire
         0     0% 71.68%      0.29s  6.42%  pkt.systems/lockd/internal/core.(*writePlan).Wait
         0     0% 71.68%      0.11s  2.43%  pkt.systems/lockd/internal/core.buildDocumentFromJSON
         0     0% 71.68%      0.48s 10.62%  pkt.systems/lockd/internal/httpapi.(*Handler).handleUpdate
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
         0     0% 71.68%      0.09s  1.99%  pkt.systems/lockd/internal/jsonutil.CompactWriter
         0     0% 71.68%      0.21s  4.65%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
         0     0% 71.68%      0.21s  4.65%  pkt.systems/lockd/internal/qrf.(*Controller).Wait
         0     0% 71.68%      0.20s  4.42%  pkt.systems/lockd/internal/qrf.(*Controller).recordDecision (inline)
         0     0% 71.68%      0.20s  4.42%  pkt.systems/lockd/internal/qrf.(*qrfMetrics).recordDecision
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/search/index.(*Manager).Insert
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/search/index.(*MemTable).Add (inline)
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/search/index.(*Writer).Insert
         0     0% 71.68%      0.30s  6.64%  pkt.systems/lockd/internal/storage.(*CommitGroup).Wait
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptMetadata
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptWriterForMaterial
         0     0% 71.68%      0.04s  0.88%  pkt.systems/lockd/internal/storage.(*Crypto).MintMaterial
         0     0% 71.68%      0.35s  7.74%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).PromoteStagedState
         0     0% 71.68%      0.12s  2.65%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).StageState
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage.(*materialReadCloser).Close
         0     0% 71.68%      0.05s  1.11%  pkt.systems/lockd/internal/storage.(*materialWriteCloser).Close
         0     0% 71.68%      0.12s  2.65%  pkt.systems/lockd/internal/storage.MarshalMetaRecord
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/disk.(*Store).DeleteObject
         0     0% 71.68%      0.05s  1.11%  pkt.systems/lockd/internal/storage/disk.(*Store).LoadMeta
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/storage/disk.(*Store).PutObject
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage/disk.(*Store).ReadState
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage/disk.(*Store).loggers
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).batchLoop
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).processBatch
         0     0% 71.68%      0.20s  4.42%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendLoop
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).commitPendingNoSync
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends.func2
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).loadManifestLocked
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).queuePendingLocked
         0     0% 71.68%      0.13s  2.88%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshForce (inline)
         0     0% 71.68%      0.14s  3.10%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshWithMode
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).scanSegmentsLocked
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage/disk.(*manifestState).readNewSegments
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/disk.readPayloadInline
         0     0% 71.68%      0.07s  1.55%  pkt.systems/lockd/internal/storage/disk.syncFile
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject
         0     0% 71.68%      0.03s  0.66%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject.func1
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta
         0     0% 71.68%      0.05s  1.11%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta.func1
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject
         0     0% 71.68%      0.06s  1.33%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject.func1
         0     0% 71.68%      0.08s  1.77%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState.func1
         0     0% 71.68%      0.28s  6.19%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta
         0     0% 71.68%      0.28s  6.19%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta.func1
         0     0% 71.68%      0.39s  8.63%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState
         0     0% 71.68%      0.39s  8.63%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState.func1
         0     0% 71.68%      0.04s  0.88%  pkt.systems/lockd/namespaces.NormalizeKey
         0     0% 71.68%      0.05s  1.11%  pkt.systems/pslog.(*jsonPlainLogger).Info
         0     0% 71.68%      0.05s  1.11%  pkt.systems/pslog.(*jsonPlainLogger).log
         0     0% 71.68%      0.07s  1.55%  pkt.systems/pslog.(*jsonPlainLogger).rebuildBasePayload
         0     0% 71.68%      0.05s  1.11%  pkt.systems/pslog.(*lineWriter).commit (inline)
         0     0% 71.68%      0.05s  1.11%  pkt.systems/pslog.(*lineWriter).flush
         0     0% 71.68%      0.05s  1.11%  runtime.(*mcentral).cacheSpan
         0     0% 71.68%      0.05s  1.11%  runtime.(*mcentral).grow
         0     0% 71.68%      0.04s  0.88%  runtime.(*mheap).alloc
         0     0% 71.68%      0.04s  0.88%  runtime.(*mheap).alloc.func1
         0     0% 71.68%      0.04s  0.88%  runtime.(*mheap).allocSpan
         0     0% 71.68%      0.07s  1.55%  runtime.(*mspan).typePointersOfUnchecked
         0     0% 71.68%      0.06s  1.33%  runtime.(*unwinder).resolveInternal
         0     0% 71.68%      0.04s  0.88%  runtime.chansend
         0     0% 71.68%      0.03s  0.66%  runtime.chansend1
         0     0% 71.68%      0.03s  0.66%  runtime.concatstrings
         0     0% 71.68%      0.20s  4.42%  runtime.copystack
         0     0% 71.68%      0.06s  1.33%  runtime.funcspdelta (inline)
         0     0% 71.68%      0.07s  1.55%  runtime.futexsleep
         0     0% 71.68%      0.07s  1.55%  runtime.futexwakeup
         0     0% 71.68%      0.47s 10.40%  runtime.gcBgMarkWorker
         0     0% 71.68%      0.47s 10.40%  runtime.gcBgMarkWorker.func2
         0     0% 71.68%      0.16s  3.54%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 71.68%      0.30s  6.64%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 71.68%      0.03s  0.66%  runtime.gdestroy
         0     0% 71.68%      0.07s  1.55%  runtime.goexit0
         0     0% 71.68%      0.03s  0.66%  runtime.goready (inline)
         0     0% 71.68%      0.04s  0.88%  runtime.heapSetTypeNoHeader (inline)
         0     0% 71.68%      0.04s  0.88%  runtime.lock (inline)
         0     0% 71.68%      0.04s  0.88%  runtime.lockWithRank (inline)
         0     0% 71.68%      0.07s  1.55%  runtime.mPark (inline)
         0     0% 71.68%      0.09s  1.99%  runtime.makeslice
         0     0% 71.68%      0.03s  0.66%  runtime.makeslicecopy
         0     0% 71.68%      0.03s  0.66%  runtime.mapaccess1
         0     0% 71.68%      0.51s 11.28%  runtime.mcall
         0     0% 71.68%      0.23s  5.09%  runtime.newstack
         0     0% 71.68%      0.07s  1.55%  runtime.notewakeup
         0     0% 71.68%      0.44s  9.73%  runtime.park_m
         0     0% 71.68%      0.06s  1.33%  runtime.pcdatavalue
         0     0% 71.68%      0.03s  0.66%  runtime.ready
         0     0% 71.68%      0.06s  1.33%  runtime.resetspinning
         0     0% 71.68%      0.13s  2.88%  runtime.runqsteal
